product_url,ASIN_from_page_url,price,brand_name,brand_name_long,seller_name,seller_url,seller_id_from_seller_url,seller_address,country_from_seller_address,Field1
https://www.amazon.com/Stainless-zirconia-Cartilage-Piercing-Earrings/dp/B07F38C7Y2/ref=sr_1_8669?dchild=1&amp;qid=1623716209&amp;s=apparel&amp;sr=1-8669,B07F38C7Y2,$12.98,,Brand: Candyfancy,CandyFancy,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A6KP1ISDYHRQA&isAmazonFulfilled=1,A6KP1ISDYHRQA,"Business Address:
#1403, Building A, Jing Nan Hua Ting,
Jing Nan Road, Bu Ji Street, Long Gang
Shenzhen
Guangdong
518020
CN",CN,undefined
https://www.amazon.com/Molah-Cultured-Freshwater-Multi-use-Earrings/dp/B07ZKLD8T9/ref=sr_1_9775?dchild=1&amp;qid=1623716236&amp;s=apparel&amp;sr=1-9775,B07ZKLD8T9,$38.90,,Visit the Molah Store,Molah,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A2Z4EB9VMUCODV&isAmazonFulfilled=1,A2Z4EB9VMUCODV,"Business Address:
SHOP NO 102 T.O.P THIS IS OUR PLACE
700 NATHAN ROAD
MONG KOK
Kowloon
NA
HK",HK,undefined
https://www.amazon.com/Genuine-Leather-Earrings-Lightweight-Teardrop/dp/B08MQ6JN9N/ref=sr_1_9463?dchild=1&amp;qid=1623716231&amp;s=apparel&amp;sr=1-9463,B08MQ6JN9N,,,Brand: PANDEBO,PANDEBO,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A3HXHBQSP061RJ&isAmazonFulfilled=1,A3HXHBQSP061RJ,"Business Address:
浙江杭州龙翔服饰城0095室
杭州
上城
浙江
310006
CN",CN,undefined
https://www.amazon.com/Mia-Jewel-Shop-Chrysocolla-Adjustable/dp/B06XDWJ5QY/ref=sr_1_10227?dchild=1&amp;qid=1623716247&amp;s=apparel&amp;sr=1-10227,B06XDWJ5QY,$13.99,,Brand: Mia Jewel Shop,Mia Jewel Shop,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A3E5ZGR7L6CYO3&isAmazonFulfilled=1,A3E5ZGR7L6CYO3,"Business Address:
11767 S. Dixie Hwy
STE 227
Pinecrest
FL
33156
US",US,undefined
https://www.amazon.com/DELLA-MODA-Layering-Necklace-Extender/dp/B07Z6578CH/ref=sr_1_10323?dchild=1&amp;qid=1623716249&amp;s=apparel&amp;sr=1-10323,B07Z6578CH,,,,Amazon.com,,,,,undefined
https://www.amazon.com/Jin-Sheng-Stainless-Alcoholics-Necklace/dp/B07Z3TY6PS/ref=sr_1_8687?dchild=1&amp;qid=1623716209&amp;s=apparel&amp;sr=1-8687,B07Z3TY6PS,$12.99,,Brand: Jin Sheng,Jin Sheng Jewelry,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A1K76UYRZTNAI1&isAmazonFulfilled=1,A1K76UYRZTNAI1,"Business Address:
高新七路999号万科四季花城999号南区71栋202
南昌
高新技术开发区
江西
330096
CN",CN,undefined
https://www.amazon.com/Bracelets-Stackable-Stretch-Bracelet-Birthday/dp/B08F6WJV5M/ref=sr_1_9467?dchild=1&amp;qid=1623716231&amp;s=apparel&amp;sr=1-9467,B08F6WJV5M,,7 inches,Brand: CXCraft,Page Lawrence,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A27AE9PLK7JAA5&isAmazonFulfilled=1,A27AE9PLK7JAA5,"Business Address:
beichenjingjikaifaqushuangyuandao18hao4069shi
tianjin
tianjin
300403
CN",CN,undefined
https://www.amazon.com/Fervent-Love-Necklace-Dog-Tag/dp/B01N78OIYX/ref=sr_1_9783?dchild=1&amp;qid=1623716236&amp;s=apparel&amp;sr=1-9783,B01N78OIYX,$13.99,,Visit the Fervent Store,Forever Fervent | DELL…,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A1DGRFWD9FCA5L&isAmazonFulfilled=1,A1DGRFWD9FCA5L,"Business Address:
PO Box 622
Boardman
OR
97818
US",US,undefined
https://www.amazon.com/Eternity-Zirconia-Sterling-Engagement-Stackable/dp/B0839B38BB/ref=sr_1_10132?dchild=1&amp;qid=1623716248&amp;s=apparel&amp;sr=1-10132,B0839B38BB,$49.99,,Brand: Heros Jewelry,Amazon.com,,,,,undefined
https://www.amazon.com/Lola-Bella-Gifts-Butterfly-Reversible/dp/B07S1LRHBL/ref=sr_1_10330?dchild=1&amp;qid=1623716249&amp;s=apparel&amp;sr=1-10330,B07S1LRHBL,,,,Amazon.com,,,,,undefined
https://www.amazon.com/Uncommon-James-Girl-Boss-Earrings/dp/B08BB5LXB7/ref=sr_1_10585?dchild=1&amp;qid=1623716257&amp;s=apparel&amp;sr=1-10585,B08BB5LXB7,,,,Amazon.com,,,,,undefined
https://www.amazon.com/Espoir-Orugami-Necklace-Animal-Pendant/dp/B07WPXTPRH/ref=sr_1_8764?dchild=1&amp;qid=1623716213&amp;s=apparel&amp;sr=1-8764,B07WPXTPRH,,,Brand: La Espoir,La Espoir,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A30DQDQAZ9BXP4&isAmazonFulfilled=1,A30DQDQAZ9BXP4,"Business Address:
Unit 203, 47 Building 2
Liuqing Eight District,Beiyuan Street
Yiwu
Zhengjiang
322000
CN",CN,undefined
https://www.amazon.com/fashion-necklace-rhinestone-aesthetic-jewelry/dp/B095HM3FP3/ref=sr_1_9948?dchild=1&amp;qid=1623716249&amp;s=apparel&amp;sr=1-9948,B095HM3FP3,,,,Amazon.com,,,,,undefined
https://www.amazon.com/C%C3%AF%C2%BE%E2%80%9A%C3%AF%C2%BD%C2%B7QUAN-CHI-Handmade-Necklace-Statement/dp/B07WXKK5VX/ref=sr_1_9475?dchild=1&amp;qid=1623716231&amp;s=apparel&amp;sr=1-9475,B07WXKK5VX,,,Visit the C·QUAN CHI Store,C.QUAN CHI,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=AHYDQIWNHM60S&isAmazonFulfilled=1,AHYDQIWNHM60S,"Business Address:
Rm201.bldga,no.1qianhai 1 St Rd.
SHENZHEN
GUANGDONG
518000
CN",CN,undefined
https://www.amazon.com/Dabangjewels-Bumblebee-Emerald-Engagement-Womens/dp/B08LGXWR7B/ref=sr_1_10133?dchild=1&amp;qid=1623716248&amp;s=apparel&amp;sr=1-10133,B08LGXWR7B,$49.99,,Brand: Dabangjewels,Amazon.com,,,,,undefined
https://www.amazon.com/Gold-Cultured-Pearl-Girls-Earrings/dp/B00UTVOGJ6/ref=sr_1_10601?dchild=1&amp;qid=1623716257&amp;s=apparel&amp;sr=1-10601,B00UTVOGJ6,,,,Amazon.com,,,,,undefined
https://www.amazon.com/Friendship-Zirconia-Wedding-Birthday-Jewelry/dp/B08Z7Z8Q2Q/ref=sr_1_9787?dchild=1&amp;qid=1623716236&amp;s=apparel&amp;sr=1-9787,B08Z7Z8Q2Q,$14.99,,Visit the GUSHION Store,Amazon.com,,,,,undefined
