product_url,ASIN_from_page_url,brand_name_long,seller_name,seller_url,seller_id_from_seller_url,seller_address,country_from_seller_address
https://www.amazon.com/Jed-North-Bodybuilding-Workout-Running/dp/B07NC3WR5L/ref=sr_1_13168?dchild=1&amp;qid=1622508883&amp;s=apparel&amp;sr=1-13168,B07NC3WR5L,Visit the Jed North Store,JedNorth,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A2AOP0K8KCECZH&isAmazonFulfilled=1,A2AOP0K8KCECZH,Business Address:256 Boston Ave.TorontoONM4M2V3CA,CA
https://www.amazon.com/Haspel-Stretch-Pique-Polo-Fulton/dp/B07TTDYHYF/ref=sr_1_7016?dchild=1&amp;qid=1622508684&amp;s=apparel&amp;sr=1-7016,B07TTDYHYF,Visit the Haspel Store,Amazon.com,,,,
https://www.amazon.com/Low-Show-Wool-Running-Socks-Cushioned/dp/B07JLTWTRQ/ref=sr_1_8241?dchild=1&amp;qid=1622508714&amp;s=apparel&amp;sr=1-8241,B07JLTWTRQ,Visit the Pure Athlete Store,Amazon.com,,,,
https://www.amazon.com/Vintage-T-Shirt-Charcoal-Heather-X-Large/dp/B00NMDB1IW/ref=sr_1_9551?dchild=1&amp;qid=1622508767&amp;s=apparel&amp;sr=1-9551,B00NMDB1IW,Brand: STAR TREK,Amazon.com,,,,
https://www.amazon.com/Slimming-Compression-Undershirt-Stomach-Shrinker/dp/B01EO36HUA/ref=sr_1_10783?dchild=1&amp;qid=1622508797&amp;s=apparel&amp;sr=1-10783,B01EO36HUA,Brand: MCNICK,Amazon.com,,,,
https://www.amazon.com/FLUORY-Clothing-Training-Grappling-Kickboxing/dp/B07FD8VZYL/ref=sr_1_6928?dchild=1&amp;qid=1622508687&amp;s=apparel&amp;sr=1-6928,B07FD8VZYL,Visit the FLUORY Store,Amazon.com,,,,
https://www.amazon.com/USA-Grey-America-1-XL/dp/B077L6JS84/ref=sr_1_8079?dchild=1&amp;qid=1622508716&amp;s=apparel&amp;sr=1-8079,B077L6JS84,Visit the Greater Half Store,Amazon.com,,,,
https://www.amazon.com/WonderWink-Medical-Uniforms-Bundle-Elastic/dp/B07TXJKB7C/ref=sr_1_9799?dchild=1&amp;qid=1622508768&amp;s=apparel&amp;sr=1-9799,B07TXJKB7C,Visit the WonderWink Store,Amazon.com,,,,
https://www.amazon.com/RAB-Pulse-Hoody-Mens-Large/dp/B07ND485CX/ref=sr_1_13179?dchild=1&amp;qid=1622508883&amp;s=apparel&amp;sr=1-13179,B07ND485CX,Brand: RAB,Amazon.com,,,,
https://www.amazon.com/Majestic-International-Long-Sleeve-Pajama-Medium/dp/B00AK9N6OI/ref=sr_1_10789?dchild=1&amp;qid=1622508797&amp;s=apparel&amp;sr=1-10789,B00AK9N6OI,Visit the Majestic International Store,Amazon.com,,,,
https://www.amazon.com/Athletic-Moisture-Wicking-Cushion-Ankle/dp/B08Z7GRSZL/ref=sr_1_8086?dchild=1&amp;qid=1622508716&amp;s=apparel&amp;sr=1-8086,B08Z7GRSZL,Visit the HaloYIYI Store,HaloYIYI A+,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A1S5G35NUAFJQP&isAmazonFulfilled=1,A1S5G35NUAFJQP,Business Address:高新技术产业开发区互联网大厦1107室盐城市东台市江苏省224200CN,CN
https://www.amazon.com/Berghaus-Paclite-Pants-Black-Medium/dp/B001E5SNZY/ref=sr_1_6943?dchild=1&amp;qid=1622508687&amp;s=apparel&amp;sr=1-6943,B001E5SNZY,Visit the Berghaus Store,Amazon.com,,,,
https://www.amazon.com/Micoop-Premium-Shemagh-Military-Tactical/dp/B074SHW98Q/ref=sr_1_10791?dchild=1&amp;qid=1622508797&amp;s=apparel&amp;sr=1-10791,B074SHW98Q,Brand: Micoop,Micoop,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=AKJDUXQO9ZEIL&isAmazonFulfilled=1,AKJDUXQO9ZEIL,"Business Address:Room 703, no.5, xujinghengjie, tianhe Dist.Xujingheng Street, Tianhe DistrictGuangzhouGuangdong510000CN",CN
https://www.amazon.com/OLLIE-ARNES-Basketball-Athletic-SET3_BLK_BLK_BLK/dp/B08596QG18/ref=sr_1_9820?dchild=1&amp;qid=1622508768&amp;s=apparel&amp;sr=1-9820,B08596QG18,Visit the OLLIE ARNES Store,Amazon.com,,,,
https://www.amazon.com/Hotline-Appealing-Varsity-Parachute-Cordura/dp/B07BHQ9LWK/ref=sr_1_13186?dchild=1&amp;qid=1622508883&amp;s=apparel&amp;sr=1-13186,B07BHQ9LWK,Brand: FaddyRox,Amazon.com,,,,
https://www.amazon.com/Event-Biker-Leather-Motorcycle-5X-Large/dp/B00XRDYGT8/ref=sr_1_6953?dchild=1&amp;qid=1622508687&amp;s=apparel&amp;sr=1-6953,B00XRDYGT8,Brand: Event Biker Leather,Amazon.com,,,,
https://www.amazon.com/Performance-Outdoor-Trekking-Climbing-Charcoal/dp/B07KPC8BYB/ref=sr_1_9828?dchild=1&amp;qid=1622508768&amp;s=apparel&amp;sr=1-9828,B07KPC8BYB,Brand: PEACE OF FOOT,Amazon.com,,,,
https://www.amazon.com/Vetemin-Breathable-Tagless-Baseball-Heather/dp/B08Y8C1XYT/ref=sr_1_8087?dchild=1&amp;qid=1622508716&amp;s=apparel&amp;sr=1-8087,B08Y8C1XYT,Brand: Vetemin,Amazon.com,,,,
https://www.amazon.com/English-Laundry-Bryant-Chino-Casual/dp/B08CRVT8N4/ref=sr_1_13187?dchild=1&amp;qid=1622508883&amp;s=apparel&amp;sr=1-13187,B08CRVT8N4,Brand: English Laundry,Amazon.com,,,,
