ASIN,ASIN,Brand,Title,Category,URL,SalesRank,SoldBy,MerchantID,merchant_url,US_brand_url,JP_brand_url,US_brand_link,JP_brand_link
B08RDWGHTL,B08RDWGHTL,RainboSee,RainboSee Women Handbag and Purse 6Pcs Tote Satchel Top Handle Crossbody Shoulder Bag Clutch Wallet Key Case,"Clothing, Shoes & Jewelry,Women,Handbags & Wallets,Totes",https://www.amazon.com/RainboSee-Handbag-Satchel-Crossbody-Shoulder/dp/B08RDWGHTL/ref=sr_1_15605?dchild=1&amp;qid=1623838124&amp;s=apparel&amp;sr=1-15605,0,RainboSee,A107PVH21U4UEF,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A107PVH21U4UEF&isAmazonFulfilled=1,https://www.amazon.com/s?rh=n%3A15743631%2Cp_89%3ARainboSee,https://www.amazon.co.jp/s?rh=n%3A2221075051%2Cp_89%3ARainboSee,"<a target=""_blank"" href=https://www.amazon.com/s?rh=n%3A15743631%2Cp_89%3ARainboSee><div>RainboSee</div></a>","<a target=""_blank"" href=https://www.amazon.co.jp/s?rh=n%3A2221075051%2Cp_89%3ARainboSee><div>RainboSee</div></a>"
B015UIKPBA,B015UIKPBA,Disney,Disney Dooney & Bourke White Sketch Zip Zip Shoulder Satchel Purse,"Clothing, Shoes & Jewelry,Women,Handbags & Wallets,Shoulder Bags",https://www.amazon.com/Disney-Dooney-Bourke-Shoulder-Satchel/dp/B015UIKPBA/ref=sr_1_13844?dchild=1&amp;qid=1623838111&amp;s=apparel&amp;sr=1-13844,0,ABM Enterprises,A107S8S64XMKZF,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A107S8S64XMKZF&isAmazonFulfilled=1,https://www.amazon.com/s?rh=n%3A15743631%2Cp_89%3ADisney,https://www.amazon.co.jp/s?rh=n%3A2221075051%2Cp_89%3ADisney,"<a target=""_blank"" href=https://www.amazon.com/s?rh=n%3A15743631%2Cp_89%3ADisney><div>Disney</div></a>","<a target=""_blank"" href=https://www.amazon.co.jp/s?rh=n%3A2221075051%2Cp_89%3ADisney><div>Disney</div></a>"
B07HDNPVWX,B07HDNPVWX,Disney Parks,Disney Parks Sketch Mickey & Minnie Zip Wallet by Dooney & Bourke Wristlet,"Clothing, Shoes & Jewelry,Women,Handbags & Wallets,Wristlets",https://www.amazon.com/Disney-Parks-Sketch-Mickey-Wristlet/dp/B07HDNPVWX/ref=sr_1_1254?dchild=1&amp;qid=1623838005&amp;s=apparel&amp;sr=1-1254,884199,ABM Enterprises,A107S8S64XMKZF,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A107S8S64XMKZF&isAmazonFulfilled=1,https://www.amazon.com/s?rh=n%3A15743631%2Cp_89%3ADisney+Parks,https://www.amazon.co.jp/s?rh=n%3A2221075051%2Cp_89%3ADisney+Parks,"<a target=""_blank"" href=https://www.amazon.com/s?rh=n%3A15743631%2Cp_89%3ADisney+Parks><div>Disney Parks</div></a>","<a target=""_blank"" href=https://www.amazon.co.jp/s?rh=n%3A2221075051%2Cp_89%3ADisney+Parks><div>Disney Parks</div></a>"
B07VYMF566,B07VYMF566,MOETYANG,MOETYANG Womens Transparent Clutch Clear Purse Crossbody with Golden Chain Strap PGA Stadium Approved Bags,"Clothing, Shoes & Jewelry,Women,Handbags & Wallets,Crossbody Bags",https://www.amazon.com/MOETYANG-Transparent-Crossbody-Stadium-Approved/dp/B07VYMF566/ref=sr_1_1323?dchild=1&amp;qid=1623838006&amp;s=apparel&amp;sr=1-1323,23368,Qiaoerr,A109LOEMTT4MO3,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A109LOEMTT4MO3&isAmazonFulfilled=1,https://www.amazon.com/s?rh=n%3A15743631%2Cp_89%3AMOETYANG,https://www.amazon.co.jp/s?rh=n%3A2221075051%2Cp_89%3AMOETYANG,"<a target=""_blank"" href=https://www.amazon.com/s?rh=n%3A15743631%2Cp_89%3AMOETYANG><div>MOETYANG</div></a>","<a target=""_blank"" href=https://www.amazon.co.jp/s?rh=n%3A2221075051%2Cp_89%3AMOETYANG><div>MOETYANG</div></a>"
B08DL85MDR,B08DL85MDR,TGCNQ,"Gifts for Women, Christmas Gift Card for Wife Girlfriend Anniversary","Clothing, Shoes & Jewelry,Women,Accessories,Wallets, Card Cases & Money Organizers,Wallets",https://www.amazon.com/Gifts-Women-Anniversary-Card-Girlfriend-Christmas/dp/B08DL85MDR/ref=sr_1_18449?dchild=1&amp;qid=1623838143&amp;s=apparel&amp;sr=1-18449,0,Timtop Workshops,A10BIXLVJYQ3X4,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A10BIXLVJYQ3X4&isAmazonFulfilled=1,https://www.amazon.com/s?rh=n%3A15743631%2Cp_89%3ATGCNQ,https://www.amazon.co.jp/s?rh=n%3A2221075051%2Cp_89%3ATGCNQ,"<a target=""_blank"" href=https://www.amazon.com/s?rh=n%3A15743631%2Cp_89%3ATGCNQ><div>TGCNQ</div></a>","<a target=""_blank"" href=https://www.amazon.co.jp/s?rh=n%3A2221075051%2Cp_89%3ATGCNQ><div>TGCNQ</div></a>"
B08M59DF3D,B08M59DF3D,Kate Spade New York,Kate Spade Payton Dome Crossbody,"Clothing, Shoes & Jewelry,Women,Handbags & Wallets,Crossbody Bags",https://www.amazon.com/Kate-Spade-Payton-Crossbody-black/dp/B08M59DF3D/ref=sr_1_657?dchild=1&amp;qid=1623838001&amp;s=apparel&amp;sr=1-657,94207,Brand World US,A10BRZEU73DW5C,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A10BRZEU73DW5C&isAmazonFulfilled=1,https://www.amazon.com/s?rh=n%3A15743631%2Cp_89%3AKate+Spade+New+York,https://www.amazon.co.jp/s?rh=n%3A2221075051%2Cp_89%3AKate+Spade+New+York,"<a target=""_blank"" href=https://www.amazon.com/s?rh=n%3A15743631%2Cp_89%3AKate+Spade+New+York><div>Kate Spade New York</div></a>","<a target=""_blank"" href=https://www.amazon.co.jp/s?rh=n%3A2221075051%2Cp_89%3AKate+Spade+New+York><div>Kate Spade New York</div></a>"
B07Y5MLMZR,B07Y5MLMZR,Michael Kors,Michael Kors Jet Set Item Large East West Cross-body (Brown 2019),"Clothing, Shoes & Jewelry,Women,Handbags & Wallets,Crossbody Bags",https://www.amazon.com/Michael-Kors-Large-Cross-body-Brown/dp/B07Y5MLMZR/ref=sr_1_94?dchild=1&amp;qid=1623837997&amp;s=apparel&amp;sr=1-94,92931,Brand World US,A10BRZEU73DW5C,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A10BRZEU73DW5C&isAmazonFulfilled=1,https://www.amazon.com/s?rh=n%3A15743631%2Cp_89%3AMichael+Kors,https://www.amazon.co.jp/s?rh=n%3A2221075051%2Cp_89%3AMichael+Kors,"<a target=""_blank"" href=https://www.amazon.com/s?rh=n%3A15743631%2Cp_89%3AMichael+Kors><div>Michael Kors</div></a>","<a target=""_blank"" href=https://www.amazon.co.jp/s?rh=n%3A2221075051%2Cp_89%3AMichael+Kors><div>Michael Kors</div></a>"
B082MF9TY2,B082MF9TY2,CLYDD,Braided Handle for Louis Vuitton Beaubourg Hobo Top Handle Neonoe Strap Neverfull Pouch Pochette Bag Purse Handle,"Clothing, Shoes & Jewelry,Women,Accessories,Handbag Accessories",https://www.amazon.com/Braided-Handle-Beaubourg-Neverfull-Pochette/dp/B082MF9TY2/ref=sr_1_1771?dchild=1&amp;qid=1623838008&amp;s=apparel&amp;sr=1-1771,108830,TOURDREAM,A10D5INXR8XDAV,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A10D5INXR8XDAV&isAmazonFulfilled=1,https://www.amazon.com/s?rh=n%3A15743631%2Cp_89%3ACLYDD,https://www.amazon.co.jp/s?rh=n%3A2221075051%2Cp_89%3ACLYDD,"<a target=""_blank"" href=https://www.amazon.com/s?rh=n%3A15743631%2Cp_89%3ACLYDD><div>CLYDD</div></a>","<a target=""_blank"" href=https://www.amazon.co.jp/s?rh=n%3A2221075051%2Cp_89%3ACLYDD><div>CLYDD</div></a>"
B08126MG3X,B08126MG3X,TOURDREAM,Tourdream Multi Pochette Accessories Adjustable Pink Strap for LV Crossbody Shoulder Multi Purpose Strap Wide Canvas,"Clothing, Shoes & Jewelry,Women,Handbags & Wallets,Crossbody Bags",https://www.amazon.com/Tourdream-Pochette-Accessories-Adjustable-Crossbody/dp/B08126MG3X/ref=sr_1_652?dchild=1&amp;qid=1623838001&amp;s=apparel&amp;sr=1-652,66025,TOURDREAM,A10D5INXR8XDAV,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A10D5INXR8XDAV&isAmazonFulfilled=1,https://www.amazon.com/s?rh=n%3A15743631%2Cp_89%3ATOURDREAM,https://www.amazon.co.jp/s?rh=n%3A2221075051%2Cp_89%3ATOURDREAM,"<a target=""_blank"" href=https://www.amazon.com/s?rh=n%3A15743631%2Cp_89%3ATOURDREAM><div>TOURDREAM</div></a>","<a target=""_blank"" href=https://www.amazon.co.jp/s?rh=n%3A2221075051%2Cp_89%3ATOURDREAM><div>TOURDREAM</div></a>"
B091KSGD4S,B091KSGD4S,SUSIE ISLAND,SUSIE ISLAND Bucket Purses for Women Designer Vegan Leather Crossbody Bag and Multi Pocket Work Shoulder Bags,"Clothing, Shoes & Jewelry,Women,Handbags & Wallets,Shoulder Bags",https://www.amazon.com/SUSIE-ISLAND-Designer-Crossbody-Shoulder/dp/B091KSGD4S/ref=sr_1_12658?dchild=1&amp;qid=1623838103&amp;s=apparel&amp;sr=1-12658,0,HaiDao,A10DQWFJ84T71A,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A10DQWFJ84T71A&isAmazonFulfilled=1,https://www.amazon.com/s?rh=n%3A15743631%2Cp_89%3ASUSIE+ISLAND,https://www.amazon.co.jp/s?rh=n%3A2221075051%2Cp_89%3ASUSIE+ISLAND,"<a target=""_blank"" href=https://www.amazon.com/s?rh=n%3A15743631%2Cp_89%3ASUSIE+ISLAND><div>SUSIE ISLAND</div></a>","<a target=""_blank"" href=https://www.amazon.co.jp/s?rh=n%3A2221075051%2Cp_89%3ASUSIE+ISLAND><div>SUSIE ISLAND</div></a>"
