ASIN,ASIN,Brand,Title,Category,URL,SalesRank,US_brand_url,JP_brand_url,US_brand_link,JP_brand_link
B07PFHM83H,B07PFHM83H,TECCPO,,"Tools & Home Improvement,Power & Hand Tools,Power Tools,Saws,Circular Saws",https://www.amazon.com/Circular-TECCPO-Compact-Suitable-Aluminum/dp/B07PFHM83H/ref=sr_1_99?dchild=1&amp;qid=1621551047&amp;s=power-hand-tools&amp;sr=1-99,0,https://www.amazon.com/s?rh=n%3A551236%2Cp_89%3ATECCPO,https://www.amazon.co.jp/s?rh=n%3A0%2Cp_89%3ATECCPO,"<a target=""_blank"" href=https://www.amazon.com/s?rh=n%3A551236%2Cp_89%3ATECCPO><div>TECCPO</div></a>","<a target=""_blank"" href=https://www.amazon.co.jp/s?rh=n%3A0%2Cp_89%3ATECCPO><div>TECCPO</div></a>"
B08DR9JV13,B08DR9JV13,SDOM,,"Tools & Home Improvement,Power & Hand Tools,Power Tools,Air Compressors & Inflators",https://www.amazon.com/Portable-Compressor-essential-Accessories-Travel/dp/B08DR9JV13/ref=sr_1_109?dchild=1&amp;qid=1621551047&amp;s=power-hand-tools&amp;sr=1-109,0,https://www.amazon.com/s?rh=n%3A551236%2Cp_89%3ASDOM,https://www.amazon.co.jp/s?rh=n%3A0%2Cp_89%3ASDOM,"<a target=""_blank"" href=https://www.amazon.com/s?rh=n%3A551236%2Cp_89%3ASDOM><div>SDOM</div></a>","<a target=""_blank"" href=https://www.amazon.co.jp/s?rh=n%3A0%2Cp_89%3ASDOM><div>SDOM</div></a>"
B083SBC4XR,B083SBC4XR,TOPELEK,,"Arts, Crafts & Sewing,Crafting,Craft Supplies,Adhesives,Craft Glue Guns & Sticks,Glue Guns",https://www.amazon.com/TOPELEK-Protectors-Melting-Projects-Repairs/dp/B083SBC4XR/ref=sr_1_111?dchild=1&amp;qid=1621551047&amp;s=power-hand-tools&amp;sr=1-111,0,https://www.amazon.com/s?rh=n%3A551236%2Cp_89%3ATOPELEK,https://www.amazon.co.jp/s?rh=n%3A0%2Cp_89%3ATOPELEK,"<a target=""_blank"" href=https://www.amazon.com/s?rh=n%3A551236%2Cp_89%3ATOPELEK><div>TOPELEK</div></a>","<a target=""_blank"" href=https://www.amazon.co.jp/s?rh=n%3A0%2Cp_89%3ATOPELEK><div>TOPELEK</div></a>"
B07X6Q1JRY,B07X6Q1JRY,K I M O.,,"Tools & Home Improvement,Power & Hand Tools,Power Tools,Drills,Drill Drivers",https://www.amazon.com/Cordless-Lithium-Ion-Battery-Brushes-Measure/dp/B07X6Q1JRY/ref=sr_1_113?dchild=1&amp;qid=1621551047&amp;s=power-hand-tools&amp;sr=1-113,0,https://www.amazon.com/s?rh=n%3A551236%2Cp_89%3AK+I+M+O.,https://www.amazon.co.jp/s?rh=n%3A0%2Cp_89%3AK+I+M+O.,"<a target=""_blank"" href=https://www.amazon.com/s?rh=n%3A551236%2Cp_89%3AK+I+M+O.><div>K I M O.</div></a>","<a target=""_blank"" href=https://www.amazon.co.jp/s?rh=n%3A0%2Cp_89%3AK+I+M+O.><div>K I M O.</div></a>"
B07255QCN4,B07255QCN4,PORTER-CABLE,,"Tools & Home Improvement,Power & Hand Tools,Power Tools,Impact Wrenches",https://www.amazon.com/Porter-Cable-PCE211-7-5-Impact-Wrench/dp/B07255QCN4/ref=sr_1_116?dchild=1&amp;qid=1621551047&amp;s=power-hand-tools&amp;sr=1-116,0,https://www.amazon.com/s?rh=n%3A551236%2Cp_89%3APORTER-CABLE,https://www.amazon.co.jp/s?rh=n%3A0%2Cp_89%3APORTER-CABLE,"<a target=""_blank"" href=https://www.amazon.com/s?rh=n%3A551236%2Cp_89%3APORTER-CABLE><div>PORTER-CABLE</div></a>","<a target=""_blank"" href=https://www.amazon.co.jp/s?rh=n%3A0%2Cp_89%3APORTER-CABLE><div>PORTER-CABLE</div></a>"
B01HZWFLH2,B01HZWFLH2,Craftsman,,"Tools & Home Improvement,Power & Hand Tools,Power Tools,Wet-Dry Vacuums",https://www.amazon.com/CRAFTSMAN-CMXZVBE38660-Muffler-Diffuser-Attachment/dp/B01HZWFLH2/ref=sr_1_118?dchild=1&amp;qid=1621551047&amp;s=power-hand-tools&amp;sr=1-118,0,https://www.amazon.com/s?rh=n%3A551236%2Cp_89%3ACraftsman,https://www.amazon.co.jp/s?rh=n%3A0%2Cp_89%3ACraftsman,"<a target=""_blank"" href=https://www.amazon.com/s?rh=n%3A551236%2Cp_89%3ACraftsman><div>Craftsman</div></a>","<a target=""_blank"" href=https://www.amazon.co.jp/s?rh=n%3A0%2Cp_89%3ACraftsman><div>Craftsman</div></a>"
B00005RHPP,B00005RHPP,BOSCH,,"Tools & Home Improvement,Power & Hand Tools,Power Tool Parts & Accessories,Router Parts & Accessories,Tables",https://www.amazon.com/Bosch-Deluxe-Extraction-Adapter-RA1054/dp/B00005RHPP/ref=sr_1_119?dchild=1&amp;qid=1621551047&amp;s=power-hand-tools&amp;sr=1-119,0,https://www.amazon.com/s?rh=n%3A551236%2Cp_89%3ABOSCH,https://www.amazon.co.jp/s?rh=n%3A0%2Cp_89%3ABOSCH,"<a target=""_blank"" href=https://www.amazon.com/s?rh=n%3A551236%2Cp_89%3ABOSCH><div>BOSCH</div></a>","<a target=""_blank"" href=https://www.amazon.co.jp/s?rh=n%3A0%2Cp_89%3ABOSCH><div>BOSCH</div></a>"
B000VYZ1HW,B000VYZ1HW,Ingersoll Rand,,"Tools & Home Improvement,Power & Hand Tools,Power Tools,Grinders,Die Grinders",https://www.amazon.com/Ingersoll-Rand-3101G-Angle-Grinder/dp/B000VYZ1HW/ref=sr_1_193?dchild=1&amp;qid=1621551047&amp;s=power-hand-tools&amp;sr=1-193,0,https://www.amazon.com/s?rh=n%3A551236%2Cp_89%3AIngersoll+Rand,https://www.amazon.co.jp/s?rh=n%3A0%2Cp_89%3AIngersoll+Rand,"<a target=""_blank"" href=https://www.amazon.com/s?rh=n%3A551236%2Cp_89%3AIngersoll+Rand><div>Ingersoll Rand</div></a>","<a target=""_blank"" href=https://www.amazon.co.jp/s?rh=n%3A0%2Cp_89%3AIngersoll+Rand><div>Ingersoll Rand</div></a>"
B088JYH44C,B088JYH44C,WAKYME,,"Tools & Home Improvement,Power & Hand Tools,Power Tools,Drills,Drill Drivers",https://www.amazon.com/Cordless-Batteries-WAKYME-Variable-Drilling/dp/B088JYH44C/ref=sr_1_194?dchild=1&amp;qid=1621551047&amp;s=power-hand-tools&amp;sr=1-194,0,https://www.amazon.com/s?rh=n%3A551236%2Cp_89%3AWAKYME,https://www.amazon.co.jp/s?rh=n%3A0%2Cp_89%3AWAKYME,"<a target=""_blank"" href=https://www.amazon.com/s?rh=n%3A551236%2Cp_89%3AWAKYME><div>WAKYME</div></a>","<a target=""_blank"" href=https://www.amazon.co.jp/s?rh=n%3A0%2Cp_89%3AWAKYME><div>WAKYME</div></a>"
B08CRQVXQ3,B08CRQVXQ3,Neu Master,,"Tools & Home Improvement,Power & Hand Tools,Power Tools,Nailers & Staplers,Nailers,Brad Nailers",https://www.amazon.com/Pneumatic-Nailer-Staples-Carrying-Glasses/dp/B08CRQVXQ3/ref=sr_1_195?dchild=1&amp;qid=1621551047&amp;s=power-hand-tools&amp;sr=1-195,0,https://www.amazon.com/s?rh=n%3A551236%2Cp_89%3ANeu+Master,https://www.amazon.co.jp/s?rh=n%3A0%2Cp_89%3ANeu+Master,"<a target=""_blank"" href=https://www.amazon.com/s?rh=n%3A551236%2Cp_89%3ANeu+Master><div>Neu Master</div></a>","<a target=""_blank"" href=https://www.amazon.co.jp/s?rh=n%3A0%2Cp_89%3ANeu+Master><div>Neu Master</div></a>"
