ASIN,ASIN,Brand,Title,Category,URL,SalesRank,US_brand_url,JP_brand_url,US_brand_link,JP_brand_link
B00F97FHAW,B00F97FHAW,CeraVe,CeraVe AM Facial Moisturizing Lotion SPF 30 | Oil-Free Face Moisturizer with Sunscreen | Non-Comedogenic | 3 Ounce,"Beauty & Personal Care,Skin Care,Face,Creams & Moisturizers,Face Moisturizers",https://www.amazon.com/CeraVe-Facial-Moisturizing-Lotion-AM/dp/B00F97FHAW/ref=sr_1_12?dchild=1&amp;qid=1623665205&amp;s=beauty&amp;sr=1-12,29,https://www.amazon.com/s?rh=n%3A3760911%2Cp_89%3ACeraVe,https://www.amazon.co.jp/s?rh=n%3A52374051%2Cp_89%3ACeraVe,"<a target=""_blank"" href=https://www.amazon.com/s?rh=n%3A3760911%2Cp_89%3ACeraVe><div>CeraVe</div></a>","<a target=""_blank"" href=https://www.amazon.co.jp/s?rh=n%3A52374051%2Cp_89%3ACeraVe><div>CeraVe</div></a>"
B07GB3QXC6,B07GB3QXC6,FlePow,"Ear and Nose Hair Trimmer Clipper - 2019 Professional Painless Eyebrow and Facial Hair Trimmer for Men and Women, Battery-Operated, IPX7 Waterproof Dual Edge Blades for Easy Cleansing(Black)","Beauty & Personal Care,Hair Care,Hair Cutting Tools,Hair Clippers & Accessories",https://www.amazon.com/Nose-Hair-Trimmer-Clipper-Battery-Operated/dp/B07GB3QXC6/ref=sr_1_17?dchild=1&amp;qid=1623665205&amp;s=beauty&amp;sr=1-17,28,https://www.amazon.com/s?rh=n%3A3760911%2Cp_89%3AFlePow,https://www.amazon.co.jp/s?rh=n%3A52374051%2Cp_89%3AFlePow,"<a target=""_blank"" href=https://www.amazon.com/s?rh=n%3A3760911%2Cp_89%3AFlePow><div>FlePow</div></a>","<a target=""_blank"" href=https://www.amazon.co.jp/s?rh=n%3A52374051%2Cp_89%3AFlePow><div>FlePow</div></a>"
B00495Q5OW,B00495Q5OW,Listerine,1 Liter,"Beauty & Personal Care,Oral Care",https://www.amazon.com/Listerine-Anticavity-Mouthwash-Fluoride-Packaging/dp/B00495Q5OW/ref=sr_1_18?dchild=1&amp;qid=1623665205&amp;s=beauty&amp;sr=1-18,106,https://www.amazon.com/s?rh=n%3A3760911%2Cp_89%3AListerine,https://www.amazon.co.jp/s?rh=n%3A52374051%2Cp_89%3AListerine,"<a target=""_blank"" href=https://www.amazon.com/s?rh=n%3A3760911%2Cp_89%3AListerine><div>Listerine</div></a>","<a target=""_blank"" href=https://www.amazon.co.jp/s?rh=n%3A52374051%2Cp_89%3AListerine><div>Listerine</div></a>"
B0822MFX8L,B0822MFX8L,Maryann Organics,Maryann Organics Collagen Cream - Anti Aging Face Moisturizer - Day & Night - Made in USA - Natural Formula with Hyaluronic Acid & Vitamin C - Firming Cream to Smooth Wrinkles & Fine Lines - 1.7Oz,"Beauty & Personal Care,Skin Care,Face,Creams & Moisturizers,Night Creams",https://www.amazon.com/MARYANN-Organics-Collagen-Cream-Moisturizer/dp/B0822MFX8L/ref=sr_1_19?dchild=1&amp;qid=1623665205&amp;s=beauty&amp;sr=1-19,17,https://www.amazon.com/s?rh=n%3A3760911%2Cp_89%3AMaryann+Organics,https://www.amazon.co.jp/s?rh=n%3A52374051%2Cp_89%3AMaryann+Organics,"<a target=""_blank"" href=https://www.amazon.com/s?rh=n%3A3760911%2Cp_89%3AMaryann+Organics><div>Maryann Organics</div></a>","<a target=""_blank"" href=https://www.amazon.co.jp/s?rh=n%3A52374051%2Cp_89%3AMaryann+Organics><div>Maryann Organics</div></a>"
B078BF27BF,B078BF27BF,Philips Sonicare,"Philips Sonicare HX9023/65 Genuine C2 Optimal Plaque Control Toothbrush Head, 3 Pack, White","Beauty & Personal Care,Oral Care,Toothbrushes & Accessories,Powered Toothbrushes & Accessories,Toothbrush Replacement Heads",https://www.amazon.com/Philips-Sonicare-replacement-toothbrush-HX9023/dp/B078BF27BF/ref=sr_1_22?dchild=1&amp;qid=1623665205&amp;s=beauty&amp;sr=1-22,104,https://www.amazon.com/s?rh=n%3A3760911%2Cp_89%3APhilips+Sonicare,https://www.amazon.co.jp/s?rh=n%3A52374051%2Cp_89%3APhilips+Sonicare,"<a target=""_blank"" href=https://www.amazon.com/s?rh=n%3A3760911%2Cp_89%3APhilips+Sonicare><div>Philips Sonicare</div></a>","<a target=""_blank"" href=https://www.amazon.co.jp/s?rh=n%3A52374051%2Cp_89%3APhilips+Sonicare><div>Philips Sonicare</div></a>"
B01LSUQSB0,B01LSUQSB0,REVLON,"REVLON One-Step Hair Dryer And Volumizer Hot Air Brush, Black, Packaging May Vary","Beauty & Personal Care,Hair Care,Styling Tools & Appliances,Hot-Air Brushes",https://www.amazon.com/Revlon-One-Step-Dryer-Volumizer-Brush/dp/B01LSUQSB0/ref=sr_1_23?dchild=1&amp;qid=1623665205&amp;s=beauty&amp;sr=1-23,5,https://www.amazon.com/s?rh=n%3A3760911%2Cp_89%3AREVLON,https://www.amazon.co.jp/s?rh=n%3A52374051%2Cp_89%3AREVLON,"<a target=""_blank"" href=https://www.amazon.com/s?rh=n%3A3760911%2Cp_89%3AREVLON><div>REVLON</div></a>","<a target=""_blank"" href=https://www.amazon.co.jp/s?rh=n%3A52374051%2Cp_89%3AREVLON><div>REVLON</div></a>"
B07L1PHSY9,B07L1PHSY9,Differin,"Acne Treatment Differin Gel for Face with Adapalene, Clears and Prevents Acne, Up to 30 Day Supply, 15g Tube","Beauty & Personal Care,Skin Care,Face,Treatments & Masks,Serums",https://www.amazon.com/Differin-Adapalene-0-1-Acne-Treatment/dp/B07L1PHSY9/ref=sr_1_24?dchild=1&amp;qid=1623665205&amp;s=beauty&amp;sr=1-24,33,https://www.amazon.com/s?rh=n%3A3760911%2Cp_89%3ADifferin,https://www.amazon.co.jp/s?rh=n%3A52374051%2Cp_89%3ADifferin,"<a target=""_blank"" href=https://www.amazon.com/s?rh=n%3A3760911%2Cp_89%3ADifferin><div>Differin</div></a>","<a target=""_blank"" href=https://www.amazon.co.jp/s?rh=n%3A52374051%2Cp_89%3ADifferin><div>Differin</div></a>"
B01M4MCUAF,B01M4MCUAF,TruSkin Naturals,"TruSkin Vitamin C Serum for Face, Topical Facial Serum with Hyaluronic Acid & Vitamin E, 1 fl oz","Beauty & Personal Care,Skin Care,Face,Treatments & Masks,Serums",https://www.amazon.com/TruSkin-Naturals-Vitamin-Topical-Hyaluronic/dp/B01M4MCUAF/ref=sr_1_25?dchild=1&amp;qid=1623665205&amp;s=beauty&amp;sr=1-25,27,https://www.amazon.com/s?rh=n%3A3760911%2Cp_89%3ATruSkin+Naturals,https://www.amazon.co.jp/s?rh=n%3A52374051%2Cp_89%3ATruSkin+Naturals,"<a target=""_blank"" href=https://www.amazon.com/s?rh=n%3A3760911%2Cp_89%3ATruSkin+Naturals><div>TruSkin Naturals</div></a>","<a target=""_blank"" href=https://www.amazon.co.jp/s?rh=n%3A52374051%2Cp_89%3ATruSkin+Naturals><div>TruSkin Naturals</div></a>"
B0080D1Q52,B0080D1Q52,Dr Teal's,"Dr Teal’s Foaming Bath with Pure Epsom Salt, Soothe & Sleep with Lavender, 34 fl oz","Beauty & Personal Care,Personal Care,Bath & Bathing Accessories,Bath,Bubble Bath",https://www.amazon.com/Dr-Teals-Foaming-Soothe-Lavender/dp/B0080D1Q52/ref=sr_1_26?dchild=1&amp;qid=1623665205&amp;s=beauty&amp;sr=1-26,31,https://www.amazon.com/s?rh=n%3A3760911%2Cp_89%3ADr+Teal's,https://www.amazon.co.jp/s?rh=n%3A52374051%2Cp_89%3ADr+Teal's,"<a target=""_blank"" href=https://www.amazon.com/s?rh=n%3A3760911%2Cp_89%3ADr+Teal's><div>Dr Teal's</div></a>","<a target=""_blank"" href=https://www.amazon.co.jp/s?rh=n%3A52374051%2Cp_89%3ADr+Teal's><div>Dr Teal's</div></a>"
B01BMMOAFU,B01BMMOAFU,KISS,"KISS Strip Eyelash Adhesive, Clear 0.176 Oz KPLGL01","Beauty & Personal Care,Tools & Accessories,Makeup Brushes & Tools,Eye,False Eyelashes & Adhesives",https://www.amazon.com/Strip-Eyelash-Adhesive-Clear-0-176/dp/B01BMMOAFU/ref=sr_1_27?dchild=1&amp;qid=1623665205&amp;s=beauty&amp;sr=1-27,35,https://www.amazon.com/s?rh=n%3A3760911%2Cp_89%3AKISS,https://www.amazon.co.jp/s?rh=n%3A52374051%2Cp_89%3AKISS,"<a target=""_blank"" href=https://www.amazon.com/s?rh=n%3A3760911%2Cp_89%3AKISS><div>KISS</div></a>","<a target=""_blank"" href=https://www.amazon.co.jp/s?rh=n%3A52374051%2Cp_89%3AKISS><div>KISS</div></a>"
