"ASIN","Brand","Title","Category","URL","SalesRank"
"B01KKHGK4W","BodyGlide","Body Glide for Her Anti Chafe Balm (USA Sale Only)","Beauty & Personal Care,Skin Care,Lip Care,Balms & Moisturizers","https://www.amazon.com/BodyGlide-Anti-Chafe-Balm-Sale/dp/B01KKHGK4W/ref=sr_1_15?dchild=1&amp;qid=1623799879&amp;s=sporting-goods&amp;sr=1-15","81"
"B07ZQPKTVV","ComfyBrace","Comfy Brace Posture Corrector-Back Brace for Men and Women- Fully Adjustable Straightener for Mid, Upper Spine Support- Neck, Shoulder, Clavicle and Back Pain Relief-Breathable,","Health & Household,Medical Supplies & Equipment,Braces, Splints & Supports,Back, Neck & Shoulder Supports,Back Braces","https://www.amazon.com/Corrector-Back-Adjustable-Straightener-Support-Relief-Breathable/dp/B07ZQPKTVV/ref=sr_1_16?dchild=1&amp;qid=1623799879&amp;s=sporting-goods&amp;sr=1-16","365"
"B016HM7QRE","Odoland","Odoland Portable LED Camping Lantern with Ceiling Fan - Hurricane Emergency Survival Kit","Sports & Outdoors,Outdoor Recreation,Camping & Hiking,Lights & Lanterns,Lanterns,Electric Lanterns","https://www.amazon.com/Odoland-Portable-Camping-Lantern-Ceiling/dp/B016HM7QRE/ref=sr_1_17?dchild=1&amp;qid=1623799879&amp;s=sporting-goods&amp;sr=1-17","63"
"B078S3HD12","TaylorMade","TaylorMade Distance Plus Golf Balls (One Dozen)","Sports & Outdoors,Sports & Fitness,Golf,Golf Balls,Distance Balls","https://www.amazon.com/TaylorMade-2018-Distance-White-Dozen/dp/B078S3HD12/ref=sr_1_18?dchild=1&amp;qid=1623799879&amp;s=sporting-goods&amp;sr=1-18","28"
"B072WHQFJ7","GearLight","GearLight LED Tactical Flashlight S1000 [2 Pack] - High Lumen, Zoomable, 5 Modes, Water Resistant Light - Camping Accessories, Outdoor Gear, Emergency Flashlights","Tools & Home Improvement,Safety & Security,Flashlights,Handheld Flashlights","https://www.amazon.com/GearLight-Tactical-Flashlight-S1000-PACK/dp/B072WHQFJ7/ref=sr_1_19?dchild=1&amp;qid=1623799879&amp;s=sporting-goods&amp;sr=1-19","43"
"B07WTZPPPR","OKELA","Boob Tape and 2 Pcs Petal Backless Nipple Cover Set, Breathable Breast Lift Tape Athletic Tape with Silicone Breast Petals Reusable Adhesive Bra for A-E Cup Large Breast…","Health & Household,Medical Supplies & Equipment,Braces, Splints & Supports,Athletic Tapes & Wraps","https://www.amazon.com/Backless-Breathable-Athletic-Silicone-Reusable/dp/B07WTZPPPR/ref=sr_1_20?dchild=1&amp;qid=1623799879&amp;s=sporting-goods&amp;sr=1-20","371"
"B018L2WM86","Vont","Vont 2 Pack LED Camping Lantern, Super Bright Portable Survival Lanterns, Must Have During Hurricane, Emergency, Storms, Outages, Original Collapsible Camping Lights/Lamp (Batteries Included)","Tools & Home Improvement,Safety & Security,Flashlights,Lantern Flashlights","https://www.amazon.com/Vont-Camping-Lantern-Portable-Addition/dp/B018L2WM86/ref=sr_1_21?dchild=1&amp;qid=1623799879&amp;s=sporting-goods&amp;sr=1-21","37"
"B0869HGSVL","Intex","Intex Dura-Beam Deluxe Comfort Plush Airbed Series with Internal Pump (2021 Model)","Sports & Outdoors,Outdoor Recreation,Camping & Hiking,Sleeping Bags & Camp Bedding,Air Mattresses","https://www.amazon.com/Intex-Elevated-Dura-Beam-Internal-Electric/dp/B0869HGSVL/ref=sr_1_22?dchild=1&amp;qid=1623799879&amp;s=sporting-goods&amp;sr=1-22","7"
"B00CP8SJVW","GigaTent","GigaTent Pop Up Pod Changing Room Privacy Tent – Instant Portable Outdoor Shower Tent, Camp Toilet, Rain Shelter for Camping & Beach – Lightweight & Sturdy, Easy Set Up, Foldable - with Carry Bag","Sports & Outdoors,Outdoor Recreation,Camping & Hiking,Tents & Shelters,Camping Shelters,Privacy Shelters","https://www.amazon.com/GigaTent-Pop-Pod-Changing-Room/dp/B00CP8SJVW/ref=sr_1_23?dchild=1&amp;qid=1623799879&amp;s=sporting-goods&amp;sr=1-23","110"
"B071DFY6CW","Zippo","Zippo Butane Fuel","Health & Household,Household Supplies,Lighters & Matches,Butane Fuel","https://www.amazon.com/Zippo-3930-Butane-Fuel-78g/dp/B071DFY6CW/ref=sr_1_24?dchild=1&amp;qid=1623799879&amp;s=sporting-goods&amp;sr=1-24","331"
"B074W9HR72","Coppertone","Coppertone Sport Continuous Sunscreen Spray Broad Spectrum SPF 30 (5.5 Ounce per Bottle, Pack of 2) (Packaging May Vary)","Beauty & Personal Care,Skin Care,Sunscreens & Tanning Products,Sunscreens,Body Sunscreens","https://www.amazon.com/Coppertone-Continuous-Sunscreen-Spectrum-5-5-Ounce/dp/B074W9HR72/ref=sr_1_25?dchild=1&amp;qid=1623799880&amp;s=sporting-goods&amp;sr=1-25","85"
"B01H71AZ36","Zacro","Zacro Gel Bike Seat Cover- Extra Soft Gel Bicycle Seat - Bike Saddle Cushion with Water&Dust Resistant Cover","Sports & Outdoors,Outdoor Recreation,Cycling,Parts & Components,Seats & Saddles,Saddles","https://www.amazon.com/Zacro-Cover-BS031-Extra-Bicycle/dp/B01H71AZ36/ref=sr_1_52?dchild=1&amp;qid=1623799880&amp;s=sporting-goods&amp;sr=1-52","123"
"B07YH2LB9R","Tommy Bahama","Tommy Bahama 5-Position Classic Lay Flat Folding Backpack Beach Chair","Sports & Outdoors,Outdoor Recreation,Camping & Hiking,Camping Furniture,Chairs","https://www.amazon.com/Tommy-Bahama-5-Position-Classic-Backpack/dp/B07YH2LB9R/ref=sr_1_53?dchild=1&amp;qid=1623799880&amp;s=sporting-goods&amp;sr=1-53","44"
"B00006IDL6","Band-Aid","Adhesive Bandages for Minor Wound Care","Health & Household,Health Care,First Aid,Bandages & Bandaging Supplies,Adhesive Bandages","https://www.amazon.com/Band-Aid-Flexible-Fabric-Adhesive-Bandages/dp/B00006IDL6/ref=sr_1_54?dchild=1&amp;qid=1623799880&amp;s=sporting-goods&amp;sr=1-54","647"
"B004XGLDTY","Sun Bum","Sun Bum Original SPF 50 Sunscreen Spray Vegan and Reef Friendly (Octinoxate & Oxybenzone Free) Broad Spectrum Moisturizing UVA/UVB Sunscreen with Vitamin E 6 oz","Beauty & Personal Care,Skin Care,Sunscreens & Tanning Products,Sunscreens,Body Sunscreens","https://www.amazon.com/Sun-Bum-Moisturizing-Protection-Hypoallergenic/dp/B004XGLDTY/ref=sr_1_55?dchild=1&amp;qid=1623799880&amp;s=sporting-goods&amp;sr=1-55","13"
"B07FP4Z3RZ","Sleepingo","Sleepingo Camping Sleeping Pad - Mat, (Large), Ultralight 14.5 OZ, Best Sleeping Pads for Backpacking, Hiking Air Mattress - Lightweight, Inflatable & Compact, Camp Sleep Pad","Sports & Outdoors,Outdoor Recreation,Camping & Hiking,Sleeping Bags & Camp Bedding,Sleeping Pads,Self-Inflating Pads","https://www.amazon.com/Sleepingo-Camping-Sleeping-Pad-Backpacking/dp/B07FP4Z3RZ/ref=sr_1_56?dchild=1&amp;qid=1623799880&amp;s=sporting-goods&amp;sr=1-56","212"
"B01A5KLUG2","Vansky","UV Flashlight Black Light , Vansky 51 LED Blacklight Pet Urine Detector for Dog/Cat Urine,Dry Stains,Bed Bug, Matching with Pet Odor Eliminator","Tools & Home Improvement,Safety & Security,Flashlights,Handheld Flashlights","https://www.amazon.com/Flashlight-Vansky-Ultraviolet-Blacklight-Eliminator/dp/B01A5KLUG2/ref=sr_1_57?dchild=1&amp;qid=1623799880&amp;s=sporting-goods&amp;sr=1-57","89"
"B015EWMYYS","NuLink","NuLink Electric Portable Dual Nozzle Balloon Blower Pump Inflation for Decoration, Party, Sport [110V~120V, 600W, Rose Red]","Sports & Outdoors,Sports & Fitness,Accessories,Inflation Devices & Accessories","https://www.amazon.com/NuLink-Electric-Inflation-Decoration-110V-120V/dp/B015EWMYYS/ref=sr_1_58?dchild=1&amp;qid=1623799880&amp;s=sporting-goods&amp;sr=1-58","172"
"B001B6CH0S","PUTT-A-BOUT","Putt-A-Bout Grassroots Par Three Putting Green (9-feet x 3-feet)","Sports & Outdoors,Sports & Fitness,Golf,Training Equipment,Putting Mats","https://www.amazon.com/Putt-Bout-Grassroots-Putting-9-feet/dp/B001B6CH0S/ref=sr_1_59?dchild=1&amp;qid=1623799880&amp;s=sporting-goods&amp;sr=1-59","154"
"B001RJ4Q2G","Kan Jam","Kan Jam","Sports & Outdoors,Sports & Fitness,Leisure Sports & Game Room,Outdoor Games & Activities,Disc Sports,Flying Discs","https://www.amazon.com/Kan-Jam-Ultimate-Disc-Game/dp/B001RJ4Q2G/ref=sr_1_60?dchild=1&amp;qid=1623799880&amp;s=sporting-goods&amp;sr=1-60","190"
"B001EJMS6K","Iron Gym","Iron Gym Total Upper Body Workout Bar","Sports & Outdoors,Sports & Fitness,Exercise & Fitness,Strength Training Equipment,Pull-Up Bars","https://www.amazon.com/Iron-Gym-Total-Upper-Workout/dp/B001EJMS6K/ref=sr_1_61?dchild=1&amp;qid=1623799880&amp;s=sporting-goods&amp;sr=1-61","296"
"B0055NRJLA","Pride Professional Tee System","Pride Professional Tee System, 3-1/4 inch ProLength Plus Tee, 135 Count, White","Sports & Outdoors,Sports & Fitness,Golf,On-Course Accessories,Tees","https://www.amazon.com/Pride-Professional-Tee-System-ProLength/dp/B0055NRJLA/ref=sr_1_62?dchild=1&amp;qid=1623799880&amp;s=sporting-goods&amp;sr=1-62","225"
"B01C5A2WJO","Little Tikes","Little Tikes Easy Score Basketball Set, Blue, 3 Balls - Amazon Exclusive","Toys & Games,Sports & Outdoor Play,Toy Sports,Toy Basketball","https://www.amazon.com/Little-Tikes-EasyScore-Basketball-Exclusive/dp/B01C5A2WJO/ref=sr_1_63?dchild=1&amp;qid=1623799880&amp;s=sporting-goods&amp;sr=1-63","52"
"B0009I3T3S","potable aqua","Potable Aqua Water Purification Tablets With PA Plus - Two 50 count Bottles","Sports & Outdoors,Outdoor Recreation,Camping & Hiking,Hydration & Filtration,Chemical Water Treaters","https://www.amazon.com/Potable-Aqua-Purification-Tablets-neutralizing/dp/B0009I3T3S/ref=sr_1_67?dchild=1&amp;qid=1623799880&amp;s=sporting-goods&amp;sr=1-67","267"
"B07CFH181X","Wilson Sporting Goods","Prime All Court Tennis Balls - Single Can (3 Balls)","Sports & Outdoors,Sports & Fitness,Tennis & Racquet Sports,Tennis,Balls","https://www.amazon.com/Wilson-Sporting-Goods-Prime-Tennis/dp/B07CFH181X/ref=sr_1_68?dchild=1&amp;qid=1623799880&amp;s=sporting-goods&amp;sr=1-68","47255"
"B01M06AQLF","Healthy Packers","Ice Pack for Lunch Box - Freezer Packs - Original Cool Pack | Slim & Long-Lasting Ice Packs for your Lunch or Cooler Bag (Set of 4)","Sports & Outdoors,Outdoor Recreation,Camping & Hiking,Camp Kitchen,Cooler Accessories","https://www.amazon.com/Ice-Pack-Lunch-Box-Long-Lasting/dp/B01M06AQLF/ref=sr_1_69?dchild=1&amp;qid=1623799880&amp;s=sporting-goods&amp;sr=1-69","138"
