product_url,ASIN_from_page_url,brand_name_long,seller_name,seller_url,seller_id_from_seller_url,seller_address
https://www.amazon.com/Sipaya-Summer-Shirts-Women-Shoulder/dp/B07PLTTGG1/ref=sr_1_6677?dchild=1&amp;qid=1622507630&amp;s=apparel&amp;sr=1-6677,B07PLTTGG1,Visit the Sipaya Store,Amazon.com,,,
https://www.amazon.com/Juneteenth-Leaders-Black-Men-Women/dp/B092DN8DNW/ref=sr_1_14280?dchild=1&amp;qid=1622507865&amp;s=apparel&amp;sr=1-14280,B092DN8DNW,,Amazon.com,,,
https://www.amazon.com/Daddy-Shark-shirt-Fathers-T-Shirt/dp/B07XCLSMM8/ref=sr_1_15268?dchild=1&amp;qid=1622509648&amp;s=apparel&amp;sr=1-15268,B07XCLSMM8,Brand: SHARK FOR FAMILY,Amazon.com,,,
https://www.amazon.com/French-Terry-Pullover-Hoodie-Black/dp/B08R2YJFMK/ref=sr_1_168?c=ts&amp;dchild=1&amp;keywords=Men%27s+Fashion+Hoodies+%26+Sweatshirts&amp;qid=1622507375&amp;refinements=p_36%3A1700-1800&amp;s=apparel&amp;sr=1-168&amp;ts_id=1258644011,B08R2YJFMK,Brand: ShopxBuy🇺🇸,Shop&Buy,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A1O2913GTS7KSP,,"Business Address:
10945 Oyster Bay Cir
New Port Richey
FL
34654
US"
https://www.amazon.com/Samsoe-Hermits-Mens-Sweatshirt-8245/dp/B074S2N93R/ref=sr_1_352?c=ts&amp;dchild=1&amp;keywords=Men%27s+Fashion+Hoodies+%26+Sweatshirts&amp;qid=1622508069&amp;refinements=p_36%3A5100-5200&amp;s=apparel&amp;sr=1-352&amp;ts_id=1258644011,B074S2N93R,Brand: Samsoe & Samsoe,Amazon.com,,,
https://www.amazon.com/Spartan-Baseball-Firefighter-Sweatshirt-XX-Large/dp/B07GN9FZ57/ref=sr_1_288?c=ts&amp;dchild=1&amp;keywords=Men%27s+Fashion+Hoodies+%26+Sweatshirts&amp;qid=1622510186&amp;refinements=p_36%3A2900-3000&amp;s=apparel&amp;sr=1-288&amp;ts_id=1258644011,B07GN9FZ57,Brand: SR,Amazon.com,,,
https://www.amazon.com/Grandfather-Fisherman-Christmas-Birthday-Grandchildren/dp/B07RQXRZTC/ref=sr_1_9434?dchild=1&amp;qid=1622509469&amp;s=apparel&amp;sr=1-9434,B07RQXRZTC,Brand: Sisadodo,Amazon.com,,,
https://www.amazon.com/Serenedelicacy-Pajamas-Sleepwear-Loungewear-Leopard/dp/B07T4YW3PS/ref=sr_1_11156?dchild=1&amp;qid=1622507763&amp;s=apparel&amp;sr=1-11156,B07T4YW3PS,Visit the Serenedelicacy Store,Amazon.com,,,
https://www.amazon.com/Fancy-Girls-Communion-Dresses-White/dp/B073WQ5G99/ref=sr_1_11394?dchild=1&amp;qid=1622507768&amp;s=apparel&amp;sr=1-11394,B073WQ5G99,Brand: Sittingley,Amazon.com,,,
https://www.amazon.com/SSLR-Flamingos-Casual-Sleeve-Hawaiian/dp/B071GMQW4W/ref=sr_1_4360?dchild=1&amp;qid=1622507558&amp;s=apparel&amp;sr=1-4360,B071GMQW4W,Visit the SSLR Store,Amazon.com,,,
https://www.amazon.com/Genuine-Crocodile-Reversible-Adjustable-Work-trim/dp/B08CVGWHC8/ref=sr_1_14683?dchild=1&amp;qid=1622509640&amp;s=apparel&amp;sr=1-14683,B08CVGWHC8,Brand: SHARLOVY,Amazon.com,,,
https://www.amazon.com/Samuel-Bamboo-Handbag-Handmade-Handle/dp/B07BDF8WQ9/ref=sr_1_1727?dchild=1&amp;qid=1622507464&amp;s=apparel&amp;sr=1-1727,B07BDF8WQ9,Brand: Samuel,Amazon.com,,,
